Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Realme,realme 15 Pro 5G,"₹33,999",4.3,"6,666 Ratings & 598 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme P4 Pro 5G,"₹25,999",4.4,"13,227 Ratings & 1,107 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme 15T 5G,"₹20,999",4.3,"4,086 Ratings & 278 Reviews",8,128.0,7000.0,6.57,50MP
Realme,realme P3 Ultra 5G,"₹23,999",4.5,"2,856 Ratings & 283 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme P3 Pro 5G,"₹19,999",4.4,"15,631 Ratings & 1,162 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme 15 5G,"₹27,999",4.4,"8,197 Ratings & 676 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme P3 Ultra 5G,"₹23,999",4.4,"15,943 Ratings & 1,591 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme 15 Pro 5G,"₹31,999",4.3,"6,666 Ratings & 598 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme P3 Pro 5G,"₹19,999",4.4,"15,631 Ratings & 1,162 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme P4 Pro 5G,"₹27,999",4.4,"2,763 Ratings & 240 Reviews",12,256.0,7000.0,6.8,50MP
Realme,realme 15T 5G,"₹22,999",4.3,"4,086 Ratings & 278 Reviews",8,256.0,7000.0,6.57,50MP
Realme,realme 15T 5G,"₹22,999",4.3,"4,086 Ratings & 278 Reviews",8,256.0,7000.0,6.57,50MP
Realme,realme 15 5G,"₹27,999",4.4,"8,197 Ratings & 676 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme C61,"₹8,199",4.3,"21,542 Ratings & 781 Reviews",6,128.0,5000.0,6.745,32MP
Realme,realme 15T 5G,"₹24,999",4.2,507 Ratings & 48 Reviews,12,256.0,7000.0,6.57,50MP
Realme,realme 15 Pro 5G,"₹35,999",4.3,"3,715 Ratings & 290 Reviews",12,256.0,7000.0,6.8,50MP
Realme,realme 14 Pro+ 5G,"₹29,999",4.4,"7,948 Ratings & 877 Reviews",12,512.0,6000.0,6.83,50MP
Realme,realme 15 5G,"₹25,999",4.4,"8,197 Ratings & 676 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme Narzo N65 5G,"₹11,599",4.3,"6,671 Ratings & 277 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme 15 Pro 5G,"₹35,999",4.3,"3,715 Ratings & 290 Reviews",12,256.0,7000.0,6.8,50MP
Realme,realme P3 Pro 5G,"₹18,999",4.4,"15,631 Ratings & 1,162 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme Narzo 80x 5G,"₹13,449",4.2,"1,900 Ratings & 74 Reviews",8,128.0,6000.0,6.72,50MP
Realme,realme P4 Pro 5G,"₹23,999",4.4,"13,227 Ratings & 1,107 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme P4 Pro 5G,"₹23,999",4.4,"13,227 Ratings & 1,107 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme P3 Ultra 5G,"₹23,999",4.4,"15,943 Ratings & 1,591 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme Narzo N61,"₹7,705",4.3,"6,271 Ratings & 281 Reviews",4,64.0,5000.0,6.74,32MP
Realme,realme 15x 5G,"₹17,999",4.3,"1,665 Ratings & 120 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme P3 Ultra 5G,"₹21,999",4.4,"15,943 Ratings & 1,591 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme Narzo 80x 5G,"₹12,699",4.2,"1,435 Ratings & 54 Reviews",6,128.0,6000.0,6.72,50MP
Realme,realme 14 Pro+ 5G,"₹26,999",4.4,"7,948 Ratings & 877 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme 14 Pro+ 5G,"₹28,999",4.4,"14,990 Ratings & 1,825 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme C61,"₹8,499",4.4,"33,054 Ratings & 1,038 Reviews",4,128.0,5000.0,6.745,32MP
Realme,realme C75 5G,"₹12,800",4.2,"1,115 Ratings & 67 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme C73 5G,"₹9,998",4.2,"1,292 Ratings & 65 Reviews",4,64.0,6000.0,6.67,32MP
Realme,realme P3 Pro 5G,"₹18,999",4.4,"15,631 Ratings & 1,162 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme 15x 5G,"₹17,999",4.3,"1,665 Ratings & 120 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹25,999",4.4,"8,197 Ratings & 676 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme P3 Ultra 5G,"₹23,999",4.5,"2,856 Ratings & 283 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme P3 Ultra 5G,"₹21,999",4.4,"15,943 Ratings & 1,591 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme P4 5G,"₹18,999",4.4,"9,650 Ratings & 686 Reviews",8,128.0,7000.0,6.77,50MP
Realme,realme P3 Pro 5G,"₹18,999",4.4,"15,631 Ratings & 1,162 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme P3 Lite 5G Charger in the Box,"₹11,499",4.4,"6,432 Ratings & 244 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme P4 Pro 5G,"₹25,999",4.4,"13,227 Ratings & 1,107 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme C61,"₹8,199",4.3,"21,542 Ratings & 781 Reviews",6,128.0,5000.0,6.745,32MP
Realme,realme P3 5G,"₹16,999",4.4,"21,282 Ratings & 1,376 Reviews",8,128.0,6000.0,6.67,50MP
Realme,realme P3 Pro 5G,"₹23,999",4.4,"3,650 Ratings & 273 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme P1 Speed 5G,"₹19,990",4.3,"1,670 Ratings & 111 Reviews",12,256.0,5000.0,6.67,50MP
Realme,realme P3 5G,"₹18,499",4.4,"21,282 Ratings & 1,376 Reviews",8,256.0,6000.0,6.67,50MP
Realme,realme 13+ 5G,"₹22,999",4.3,"3,678 Ratings & 316 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme 15 Pro 5G,"₹33,999",4.3,"6,666 Ratings & 598 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme P3 Lite 5G Charger in the Box,"₹11,499",4.4,"6,432 Ratings & 244 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme P3 Ultra 5G,"₹21,999",4.4,"15,943 Ratings & 1,591 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme 14 Pro 5G,"₹26,999",4.4,"13,639 Ratings & 1,008 Reviews",8,256.0,6000.0,6.77,50MP
Realme,realme 14x 5G,"₹14,999",4.3,"13,328 Ratings & 663 Reviews",6,128.0,6000.0,6.67,50MP
Realme,realme 14x 5G,"₹14,999",4.3,"13,328 Ratings & 663 Reviews",6,128.0,6000.0,6.67,50MP
Realme,realme 13 Pro+ 5G,"₹23,885",4.4,"16,937 Ratings & 1,665 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme 14 Pro 5G,"₹24,999",4.4,"13,639 Ratings & 1,008 Reviews",8,128.0,6000.0,6.77,50MP
Realme,realme Narzo N61,"₹9,998",4.2,"1,937 Ratings & 71 Reviews",6,128.0,5000.0,6.74,32MP
Realme,realme 13 Pro 5G,"₹21,999",4.4,"7,980 Ratings & 541 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme 14x 5G,"₹15,999",4.4,"7,923 Ratings & 402 Reviews",8,128.0,6000.0,6.67,50MP
Realme,realme P3 Pro 5G,"₹23,999",4.4,"3,650 Ratings & 273 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme P3 5G,"₹16,999",4.4,"21,282 Ratings & 1,376 Reviews",8,128.0,6000.0,6.67,50MP
Realme,realme 13 Pro 5G,"₹27,999",4.3,"1,121 Ratings & 74 Reviews",12,512.0,5200.0,6.7,50MP
Realme,realme 15 5G,"₹29,999",4.4,417 Ratings & 44 Reviews,12,256.0,7000.0,6.8,50MP
Realme,realme 15 Pro 5G,"₹38,999",4.3,"3,715 Ratings & 290 Reviews",12,512.0,7000.0,6.8,50MP
Realme,realme C73 5G,"₹10,479",4.2,"1,292 Ratings & 65 Reviews",4,64.0,6000.0,6.67,32MP
Realme,realme 8 5G,"₹16,499",4.3,"78,609 Ratings & 6,028 Reviews",4,128.0,5000.0,6.5,48MP
Realme,realme C15,"₹8,366",4.4,"1,25,905 Ratings & 7,077 Reviews",4,64.0,6000.0,6.52,13MP
Realme,realme 13+ 5G,"₹18,998",4.3,"3,678 Ratings & 316 Reviews",8,256.0,5000.0,6.67,50MP
Realme,realme 13+ 5G,"₹17,992",4.3,"3,678 Ratings & 316 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme P3 5G,"₹15,999",4.4,"30,505 Ratings & 1,951 Reviews",6,128.0,6000.0,6.67,50MP
Realme,realme 15 5G,"₹29,999",4.4,417 Ratings & 44 Reviews,12,256.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹25,999",4.4,"8,197 Ratings & 676 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹25,999",4.4,"8,197 Ratings & 676 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹27,999",4.4,"8,197 Ratings & 676 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹25,999",4.4,"8,197 Ratings & 676 Reviews",8,128.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹27,999",4.4,"8,197 Ratings & 676 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme 15 5G,"₹27,999",4.4,"8,197 Ratings & 676 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme C63 5G Charger in the Box,"₹10,999",4.4,"7,031 Ratings & 272 Reviews",4,128.0,5000.0,6.67,32MP
Realme,realme C73 5G,"₹10,479",4.2,"1,292 Ratings & 65 Reviews",4,64.0,6000.0,6.67,32MP
Realme,realme P3 Pro 5G,"₹19,999",4.4,"15,631 Ratings & 1,162 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme 13 Pro 5G,"₹26,999",4.3,"1,121 Ratings & 74 Reviews",12,512.0,5200.0,6.7,50MP
Realme,realme P3 Pro 5G,"₹23,999",4.4,"3,650 Ratings & 273 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme 13 Pro 5G,"₹19,799",4.4,"7,980 Ratings & 541 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme 13 Pro+ 5G,"₹23,885",4.4,"16,937 Ratings & 1,665 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme C63 5G Charger in the Box,"₹12,999",4.4,"4,369 Ratings & 146 Reviews",8,128.0,5000.0,6.67,32MP
Realme,realme P3 Pro 5G,"₹18,999",4.4,"15,631 Ratings & 1,162 Reviews",8,128.0,6000.0,6.83,50MP
Realme,realme C73 5G,"₹11,128",4.2,"1,292 Ratings & 65 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme 13 Pro 5G,"₹21,999",4.4,"7,980 Ratings & 541 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme Narzo N61,"₹7,705",4.3,"6,271 Ratings & 281 Reviews",4,64.0,5000.0,6.74,32MP
Realme,realme C63 5G Charger in the Box,"₹10,999",4.5,"24,676 Ratings & 739 Reviews",6,128.0,5000.0,6.67,32MP
Realme,realme C63 5G Charger in the Box,"₹10,999",4.5,"24,676 Ratings & 739 Reviews",6,128.0,5000.0,6.67,32MP
Realme,realme 13 Pro+ 5G,"₹25,999",4.4,"16,937 Ratings & 1,665 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme P3 Pro 5G,"₹18,999",4.4,"15,631 Ratings & 1,162 Reviews",8,128.0,6000.0,6.83,50MP
