Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Vivo,vivo T2 Pro 5G,"₹23,999",4.5,"1,25,589 Ratings & 9,175 Reviews",8.0,256.0,4600,6.78,64MP
Vivo,vivo V25 Pro 5G,"₹30,803",4.2,874 Ratings & 88 Reviews,12.0,256.0,4830,6.56,64MP
Vivo,vivo Y27,"₹10,999",4.2,"2,830 Ratings & 121 Reviews",6.0,128.0,5000,6.64,50MP
Vivo,vivo V25 Pro 5G,"₹29,489",4.2,874 Ratings & 88 Reviews,12.0,256.0,4830,6.56,64MP
Vivo,vivo Y02,"₹8,499",4.2,"1,451 Ratings & 61 Reviews",3.0,32.0,5000,6.51,8MP
Vivo,vivo T2 Pro 5G,"₹22,999",4.5,"1,25,589 Ratings & 9,175 Reviews",8.0,128.0,4600,6.78,64MP
Vivo,vivo Y58 5G,"₹14,596",4.4,"1,405 Ratings & 67 Reviews",8.0,128.0,6000,6.72,50MP
Vivo,vivo Y69,"₹14,990",4.3,"5,639 Ratings & 763 Reviews",3.0,32.0,3000,5.5,13MP
Vivo,vivo Y58 5G,"₹14,596",4.4,"1,405 Ratings & 67 Reviews",8.0,128.0,6000,6.72,50MP
Vivo,vivo Y69,"₹14,990",4.3,"5,639 Ratings & 763 Reviews",3.0,32.0,3000,5.5,13MP
Vivo,vivo X90,"₹45,449",4.3,513 Ratings & 61 Reviews,12.0,256.0,4810,6.78,50MP
Vivo,vivo Y72 5G,"₹19,990",4.3,"5,995 Ratings & 459 Reviews",8.0,128.0,5000,6.58,48MP
Vivo,vivo Y58 5G,"₹14,939",4.4,"1,405 Ratings & 67 Reviews",8.0,128.0,6000,6.72,50MP
Vivo,vivo Y27,"₹10,999",4.2,"2,830 Ratings & 121 Reviews",6.0,128.0,5000,6.64,50MP
Vivo,vivo Y20A,"₹12,503",4.3,"1,931 Ratings & 95 Reviews",3.0,64.0,5000,6.51,13MP
Vivo,vivo X90,"₹43,999",4.3,513 Ratings & 61 Reviews,12.0,256.0,4810,6.78,50MP
Vivo,vivo Y20A,"₹11,990",4.3,"1,931 Ratings & 95 Reviews",3.0,64.0,5000,6.51,13MP
Vivo,vivo V15,"₹26,990",4.5,"36,648 Ratings & 2,906 Reviews",6.0,64.0,4000,6.53,12MP
Vivo,vivo V50 5G Elite Edition,"₹39,999",4.5,249 Ratings & 17 Reviews,12.0,512.0,6000,6.77,50MP
Vivo,vivo V9,"₹23,990",4.5,"89,983 Ratings & 9,388 Reviews",4.0,64.0,3260,6.3,16MP
Vivo,vivo Y21E,"₹10,999",4.3,544 Ratings & 30 Reviews,3.0,64.0,5000,6.51,13MP
Vivo,vivo V29 5G,"₹36,999",4.5,"3,057 Ratings & 283 Reviews",12.0,256.0,4600,6.78,50MP
Vivo,vivo Y21E,"₹8,999",4.3,544 Ratings & 30 Reviews,3.0,64.0,5000,6.51,13MP
Vivo,vivo V7+,"₹22,221",4.4,"17,457 Ratings & 2,612 Reviews",4.0,64.0,3225,5.99,16MP
Vivo,vivo V11,"₹24,990",4.5,"17,793 Ratings & 1,697 Reviews",6.0,64.0,3315,6.3,16MP
Vivo,vivo Y02,"₹8,499",4.2,"1,451 Ratings & 61 Reviews",3.0,32.0,5000,6.51,8MP
Vivo,vivo Y33T,"₹21,990",4.4,"2,936 Ratings & 198 Reviews",8.0,128.0,5000,6.58,50MP
Vivo,vivo Y91,"₹10,990",4.4,"16,015 Ratings & 1,130 Reviews",3.0,32.0,4030,6.22,13MP
Vivo,vivo Y15,"₹14,500",4.4,"32,007 Ratings & 2,238 Reviews",4.0,64.0,5000,6.35,13MP
Vivo,vivo V9 Youth,"₹19,990",4.4,"26,757 Ratings & 2,833 Reviews",4.0,32.0,3260,6.3,16MP
Vivo,vivo U20,"₹20,999",4.1,10 Ratings & 0 Reviews,8.0,128.0,5000,6.53,16MP
Vivo,vivo Y93,"₹14,990",4.4,"9,434 Ratings & 692 Reviews",3.0,64.0,4030,6.22,13MP
Vivo,vivo Y3s,"₹9,490",4.3,333 Ratings & 32 Reviews,2.0,32.0,5000,6.51,13MP
Vivo,vivo Y3s,"₹9,490",4.3,333 Ratings & 32 Reviews,2.0,32.0,5000,6.51,13MP
Vivo,vivo Y95,"₹11,790",4.4,"16,655 Ratings & 1,352 Reviews",4.0,64.0,4030,6.22,13MP
Vivo,vivo Y1s,"₹10,990",4.3,"1,888 Ratings & 112 Reviews",3.0,32.0,4030,6.22,13MP
Vivo,vivo Y11,"₹9,990",4.4,"20,663 Ratings & 1,335 Reviews",3.0,32.0,5000,6.35,13MP
Vivo,vivo Y20A 2021,"₹15,490",4.3,"2,967 Ratings & 168 Reviews",3.0,64.0,5000,6.51,13MP
Vivo,vivo Y15,"₹15,990",4.4,"32,007 Ratings & 2,238 Reviews",4.0,64.0,5000,6.35,13MP
Vivo,vivo S1,"₹19,990",4.5,"11,953 Ratings & 836 Reviews",4.0,128.0,4500,6.38,16MP
Vivo,vivo Y19S,"₹13,499",,,6.0,128.0,6000,6.68,50MP
Vivo,vivo Y19S,"₹10,999",,,4.0,64.0,6000,6.68,50MP
Vivo,vivo Y93,"₹15,990",4.4,"3,433 Ratings & 280 Reviews",4.0,32.0,4030,6.22,13MP
Vivo,vivo T3 Lite 5G,"₹10,499",4.4,"72,712 Ratings & 2,365 Reviews",4.0,128.0,5000,6.56,50MP
Vivo,vivo Y200e 5G,"₹19,999",4.2,415 Ratings & 21 Reviews,6.0,128.0,5000,6.67,50MP
Vivo,vivo T3 Ultra,"₹31,999",4.5,"10,400 Ratings & 778 Reviews",12.0,256.0,5500,6.78,50MP
Vivo,vivo T3 Ultra,"₹29,999",4.5,"23,682 Ratings & 1,880 Reviews",8.0,256.0,5500,6.78,50MP
Vivo,vivo X200 5G,"₹65,999",4.6,"1,309 Ratings & 213 Reviews",12.0,256.0,5800,6.67,50MP
Vivo,vivo X200 5G,"₹71,999",4.7,263 Ratings & 34 Reviews,16.0,512.0,5800,6.67,50MP
Vivo,vivo X200 5G,"₹71,999",4.7,263 Ratings & 34 Reviews,16.0,512.0,5800,6.67,50MP
Vivo,vivo V40e 5G,"₹23,770",4.4,"10,508 Ratings & 695 Reviews",8.0,128.0,5500,6.77,50MP
Vivo,vivo V40e 5G,"₹23,820",4.4,"10,508 Ratings & 695 Reviews",8.0,128.0,5500,6.77,50MP
Vivo,vivo X200 5G,"₹65,999",4.6,"1,309 Ratings & 213 Reviews",12.0,256.0,5800,6.67,50MP
Vivo,vivo V40e 5G,"₹26,940",4.4,"10,508 Ratings & 695 Reviews",8.0,256.0,5500,6.77,50MP
Vivo,vivo Y28 5G,"₹11,719",4.3,668 Ratings & 16 Reviews,4.0,128.0,5000,6.56,50MP
Vivo,vivo Y28 5G,"₹12,999",4.3,668 Ratings & 16 Reviews,4.0,128.0,5000,6.56,50MP
Vivo,vivo T3x 5G,"₹12,499",4.4,"58,837 Ratings & 2,326 Reviews",4.0,128.0,6000,6.7165354,50MP
Vivo,vivo Y28 5G,"₹14,499",4.3,323 Ratings & 19 Reviews,8.0,128.0,5000,6.56,50MP
Vivo,vivo Y28 5G,"₹12,850",4.4,902 Ratings & 38 Reviews,6.0,128.0,5000,6.56,50MP
Vivo,vivo V29 Pro 5G,"₹38,999",4.5,"1,761 Ratings & 207 Reviews",12.0,256.0,4600,6.78,50MP
Vivo,vivo T3 Ultra,"₹23,999",4.5,"23,682 Ratings & 1,880 Reviews",8.0,128.0,5500,6.78,50MP
Vivo,vivo V29 Pro 5G,"₹28,999",4.5,"6,419 Ratings & 916 Reviews",8.0,256.0,4600,6.78,50MP
Vivo,vivo V29 Pro 5G,"₹37,999",4.5,"1,761 Ratings & 207 Reviews",12.0,256.0,4600,6.78,50MP
Vivo,vivo V30 5G,"₹31,999",4.5,"8,194 Ratings & 709 Reviews",8.0,256.0,5000,6.78,50MP
Vivo,vivo V30 5G,"₹31,999",4.5,"8,194 Ratings & 709 Reviews",8.0,256.0,5000,6.78,50MP
Vivo,vivo V30 5G,"₹28,000",4.5,"8,194 Ratings & 709 Reviews",8.0,256.0,5000,6.78,50MP
Vivo,vivo V30 5G,"₹29,999",4.5,"1,173 Ratings & 95 Reviews",12.0,256.0,5000,6.78,50MP
Vivo,vivo T2x 5G,"₹14,999",4.4,"78,433 Ratings & 4,328 Reviews",8.0,128.0,5000,6.58,50MP
Vivo,vivo T2x 5G,"₹12,999",4.4,"4,56,264 Ratings & 23,582 Reviews",6.0,128.0,5000,6.58,50MP
Vivo,vivo T2 Pro 5G,"₹23,999",4.5,"1,25,589 Ratings & 9,175 Reviews",8.0,256.0,4600,6.78,64MP
